cvsin_type_2  
Start(mV):      5.000000E+02
End(mV):        5.000000E+02
Max(mV):       -5.000000E+02
Min(mV):       -5.000000E+02
Freq1(Hz):      1.800000E+01
Amp1(mV):       0.000000E+00
Phase1(deg):    0.000000E+00
Freq2(Hz):      1.000000E+00
Amp2(mV):       0.000000E+00
Phase2(deg):    0.000000E+00
Freq3(Hz):      1.000000E+00
Amp3(mV):       0.000000E+00
Phase3(deg):    0.000000E+00
Freq4(Hz):      1.000000E+00
Amp4(mV):       0.000000E+00
Phase4(deg):    0.000000E+00
Freq5(Hz):      1.000000E+00
Amp5(mV):       0.000000E+00
Phase5(deg):    0.000000E+00
Freq6(Hz):      1.000000E+00
Amp6(mV):       0.000000E+00
Phase6(deg):    0.000000E+00
Freq7(Hz):      1.000000E+00
Amp7(mV):       0.000000E+00
Phase7(deg):    0.000000E+00
Freq8(Hz):      1.000000E+00
Amp8(mV):       0.000000E+00
Phase8(deg):    0.000000E+00
Type(0-4):      4 
Rate(mV/s):     1.000000E+03
Direction:      c 
Scans:  1
Average:        19
Gain(0-4):      1 
Initial(mV):    5.000000E+02
Initial(mS):    1.000000E+04
Pre(mV):        0.000000E+00
Pre(ms):        0.000000E+00
Post(mV):       0.000000E+00
Post(ms):       0.000000E+00
 4.521484E-01  -4.263256E-09   4.785156E-02
 4.516602E-01  -4.353707E-09   4.833984E-02
 4.511719E-01  -4.432097E-09   4.882812E-02
 4.506836E-01  -4.528578E-09   4.931641E-02
 4.501953E-01  -4.606969E-09   4.980469E-02
 4.497070E-01  -4.703450E-09   5.029297E-02
 4.492188E-01  -4.775811E-09   5.078125E-02
 4.487305E-01  -4.872292E-09   5.126953E-02
 4.482422E-01  -4.968773E-09   5.175781E-02
 4.477539E-01  -5.065254E-09   5.224609E-02
 4.472656E-01  -5.161735E-09   5.273438E-02
 4.467773E-01  -5.258216E-09   5.322266E-02
 4.462891E-01  -5.372787E-09   5.371094E-02
 4.458008E-01  -5.463238E-09   5.419922E-02
 4.453125E-01  -5.571780E-09   5.468750E-02
 4.448242E-01  -5.674291E-09   5.517578E-02
 4.443359E-01  -5.794892E-09   5.566406E-02
 4.438477E-01  -5.903433E-09   5.615234E-02
 4.433594E-01  -6.018004E-09   5.664062E-02
 4.428711E-01  -6.120515E-09   5.712891E-02
 4.423828E-01  -6.241117E-09   5.761719E-02
 4.418945E-01  -6.361718E-09   5.810547E-02
 4.414062E-01  -6.488349E-09   5.859375E-02
 4.409180E-01  -6.627041E-09   5.908203E-02
 4.404297E-01  -6.747642E-09   5.957031E-02
 4.399414E-01  -6.874274E-09   6.005859E-02
 4.394531E-01  -7.000905E-09   6.054688E-02
 4.389648E-01  -7.133566E-09   6.103516E-02
 4.384766E-01  -7.278288E-09   6.152344E-02
 4.379883E-01  -7.410949E-09   6.201172E-02
 4.375000E-01  -7.543611E-09   6.250000E-02
 4.370117E-01  -7.700392E-09   6.298828E-02
 4.365234E-01  -7.851144E-09   6.347656E-02
 4.360352E-01  -7.995866E-09   6.396484E-02
 4.355469E-01  -8.146617E-09   6.445312E-02
 4.350586E-01  -8.303399E-09   6.494141E-02
 4.345703E-01  -8.472241E-09   6.542969E-02
 4.340820E-01  -8.629022E-09   6.591797E-02
 4.335938E-01  -8.779774E-09   6.640625E-02
 4.331055E-01  -8.960676E-09   6.689453E-02
 4.326172E-01  -9.147608E-09   6.738281E-02
 4.321289E-01  -9.310420E-09   6.787109E-02
 4.316406E-01  -9.485292E-09   6.835938E-02
 4.311523E-01  -9.672224E-09   6.884766E-02
 4.306641E-01  -9.853125E-09   6.933594E-02
 4.301758E-01  -1.005212E-08   6.982422E-02
 4.296875E-01  -1.023302E-08   7.031250E-02
 4.291992E-01  -1.043201E-08   7.080078E-02
 4.287109E-01  -1.064306E-08   7.128906E-02
 4.282227E-01  -1.084206E-08   7.177734E-02
 4.277344E-01  -1.105914E-08   7.226562E-02
 4.272461E-01  -1.125813E-08   7.275391E-02
 4.267578E-01  -1.146918E-08   7.324219E-02
 4.262695E-01  -1.169833E-08   7.373047E-02
 4.257812E-01  -1.192144E-08   7.421875E-02
 4.252930E-01  -1.216867E-08   7.470703E-02
 4.248047E-01  -1.237972E-08   7.519531E-02
 4.243164E-01  -1.262093E-08   7.568359E-02
 4.238281E-01  -1.287419E-08   7.617188E-02
 4.233398E-01  -1.310333E-08   7.666016E-02
 4.228516E-01  -1.335659E-08   7.714844E-02
 4.223633E-01  -1.361589E-08   7.763672E-02
 4.218750E-01  -1.388724E-08   7.812500E-02
 4.213867E-01  -1.414653E-08   7.861328E-02
 4.208984E-01  -1.441788E-08   7.910156E-02
 4.204102E-01  -1.469527E-08   7.958984E-02
 4.199219E-01  -1.498471E-08   8.007812E-02
 4.194336E-01  -1.526812E-08   8.056641E-02
 4.189453E-01  -1.555154E-08   8.105469E-02
 4.184570E-01  -1.587113E-08   8.154297E-02
 4.179688E-01  -1.616660E-08   8.203125E-02
 4.174805E-01  -1.648017E-08   8.251953E-02
 4.169922E-01  -1.678167E-08   8.300781E-02
 4.165039E-01  -1.711332E-08   8.349609E-02
 4.160156E-01  -1.743895E-08   8.398438E-02
 4.155273E-01  -1.777663E-08   8.447266E-02
 4.150391E-01  -1.812034E-08   8.496094E-02
 4.145508E-01  -1.847612E-08   8.544922E-02
 4.140625E-01  -1.883189E-08   8.593750E-02
 4.135742E-01  -1.918767E-08   8.642578E-02
 4.130859E-01  -1.954947E-08   8.691406E-02
 4.125977E-01  -1.992333E-08   8.740234E-02
 4.121094E-01  -2.030323E-08   8.789062E-02
 4.116211E-01  -2.068915E-08   8.837891E-02
 4.111328E-01  -2.109317E-08   8.886719E-02
 4.106445E-01  -2.150321E-08   8.935547E-02
 4.101562E-01  -2.191928E-08   8.984375E-02
 4.096680E-01  -2.232933E-08   9.033203E-02
 4.091797E-01  -2.275746E-08   9.082031E-02
 4.086914E-01  -2.320972E-08   9.130859E-02
 4.082031E-01  -2.363785E-08   9.179688E-02
 4.077148E-01  -2.410217E-08   9.228516E-02
 4.072266E-01  -2.456045E-08   9.277344E-02
 4.067383E-01  -2.503080E-08   9.326172E-02
 4.062500E-01  -2.550114E-08   9.375000E-02
 4.057617E-01  -2.599561E-08   9.423828E-02
 4.052734E-01  -2.650816E-08   9.472656E-02
 4.047852E-01  -2.701469E-08   9.521484E-02
 4.042969E-01  -2.754533E-08   9.570312E-02
 4.038086E-01  -2.805789E-08   9.619141E-02
 4.033203E-01  -2.860663E-08   9.667969E-02
 4.028320E-01  -2.914330E-08   9.716797E-02
 4.023438E-01  -2.970410E-08   9.765625E-02
 4.018555E-01  -3.027695E-08   9.814453E-02
 4.013672E-01  -3.086187E-08   9.863281E-02
 4.008789E-01  -3.145282E-08   9.912109E-02
 4.003906E-01  -3.204979E-08   9.960938E-02
 3.999023E-01  -3.266486E-08   1.000977E-01
 3.994141E-01  -3.330405E-08   1.005859E-01
 3.989258E-01  -3.393720E-08   1.010742E-01
 3.984375E-01  -3.458845E-08   1.015625E-01
 3.979492E-01  -3.525779E-08   1.020508E-01
 3.974609E-01  -3.593315E-08   1.025391E-01
 3.969727E-01  -3.663264E-08   1.030273E-01
 3.964844E-01  -3.732007E-08   1.035156E-01
 3.959961E-01  -3.803162E-08   1.040039E-01
 3.955078E-01  -3.876728E-08   1.044922E-01
 3.950195E-01  -3.950898E-08   1.049805E-01
 3.945312E-01  -4.026877E-08   1.054688E-01
 3.940430E-01  -4.104665E-08   1.059570E-01
 3.935547E-01  -4.183056E-08   1.064453E-01
 3.930664E-01  -4.263859E-08   1.069336E-01
 3.925781E-01  -4.345868E-08   1.074219E-01
 3.920898E-01  -4.427876E-08   1.079102E-01
 3.916016E-01  -4.512900E-08   1.083984E-01
 3.911133E-01  -4.600336E-08   1.088867E-01
 3.906250E-01  -4.690184E-08   1.093750E-01
 3.901367E-01  -4.779429E-08   1.098633E-01
 3.896484E-01  -4.870483E-08   1.103516E-01
 3.891602E-01  -4.964552E-08   1.108398E-01
 3.886719E-01  -5.058621E-08   1.113281E-01
 3.881836E-01  -5.156911E-08   1.118164E-01
 3.876953E-01  -5.255201E-08   1.123047E-01
 3.872070E-01  -5.355903E-08   1.127930E-01
 3.867188E-01  -5.460223E-08   1.132812E-01
 3.862305E-01  -5.563338E-08   1.137695E-01
 3.857422E-01  -5.670673E-08   1.142578E-01
 3.852539E-01  -5.780420E-08   1.147461E-01
 3.847656E-01  -5.890167E-08   1.152344E-01
 3.842773E-01  -6.003532E-08   1.157227E-01
 3.837891E-01  -6.118103E-08   1.162109E-01
 3.833008E-01  -6.236293E-08   1.166992E-01
 3.828125E-01  -6.356291E-08   1.171875E-01
 3.823242E-01  -6.479304E-08   1.176758E-01
 3.818359E-01  -6.602318E-08   1.181641E-01
 3.813477E-01  -6.729552E-08   1.186523E-01
 3.808594E-01  -6.858595E-08   1.191406E-01
 3.803711E-01  -6.990051E-08   1.196289E-01
 3.798828E-01  -7.124521E-08   1.201172E-01
 3.793945E-01  -7.260801E-08   1.206055E-01
 3.789062E-01  -7.400095E-08   1.210938E-01
 3.784180E-01  -7.541802E-08   1.215820E-01
 3.779297E-01  -7.688332E-08   1.220703E-01
 3.774414E-01  -7.834863E-08   1.225586E-01
 3.769531E-01  -7.986217E-08   1.230469E-01
 3.764648E-01  -8.138175E-08   1.235352E-01
 3.759766E-01  -8.294957E-08   1.240234E-01
 3.754883E-01  -8.454753E-08   1.245117E-01
 3.750000E-01  -8.616962E-08   1.250000E-01
 3.745117E-01  -8.780980E-08   1.254883E-01
 3.740234E-01  -8.949822E-08   1.259766E-01
 3.735352E-01  -9.122885E-08   1.264648E-01
 3.730469E-01  -9.298360E-08   1.269531E-01
 3.725586E-01  -9.476849E-08   1.274414E-01
 3.720703E-01  -9.657148E-08   1.279297E-01
 3.715820E-01  -9.843477E-08   1.284180E-01
 3.710938E-01  -1.003282E-07   1.289062E-01
 3.706055E-01  -1.022458E-07   1.293945E-01
 3.701172E-01  -1.042116E-07   1.298828E-01
 3.696289E-01  -1.062136E-07   1.303711E-01
 3.691406E-01  -1.082577E-07   1.308594E-01
 3.686523E-01  -1.103381E-07   1.313477E-01
 3.681641E-01  -1.124486E-07   1.318359E-01
 3.676758E-01  -1.146014E-07   1.323242E-01
 3.671875E-01  -1.168023E-07   1.328125E-01
 3.666992E-01  -1.190455E-07   1.333008E-01
 3.662109E-01  -1.213309E-07   1.337891E-01
 3.657227E-01  -1.236585E-07   1.342773E-01
 3.652344E-01  -1.260344E-07   1.347656E-01
 3.647461E-01  -1.284464E-07   1.352539E-01
