cvsin_type_2  
Start(mV):      5.000000E+02
End(mV):        5.000000E+02
Max(mV):       -5.000000E+02
Min(mV):       -5.000000E+02
Freq1(Hz):      1.800000E+02
Amp1(mV):       0.000000E+00
Phase1(deg):    0.000000E+00
Freq2(Hz):      1.000000E+00
Amp2(mV):       0.000000E+00
Phase2(deg):    0.000000E+00
Freq3(Hz):      1.000000E+00
Amp3(mV):       0.000000E+00
Phase3(deg):    0.000000E+00
Freq4(Hz):      1.000000E+00
Amp4(mV):       0.000000E+00
Phase4(deg):    0.000000E+00
Freq5(Hz):      1.000000E+00
Amp5(mV):       0.000000E+00
Phase5(deg):    0.000000E+00
Freq6(Hz):      1.000000E+00
Amp6(mV):       0.000000E+00
Phase6(deg):    0.000000E+00
Freq7(Hz):      1.000000E+00
Amp7(mV):       0.000000E+00
Phase7(deg):    0.000000E+00
Freq8(Hz):      1.000000E+00
Amp8(mV):       0.000000E+00
Phase8(deg):    0.000000E+00
Type(0-4):      4 
Rate(mV/s):     1.000000E+03
Direction:      c 
Scans:  1
Average:        19
Gain(0-4):      1 
Initial(mV):    5.000000E+02
Initial(mS):    1.000000E+04
Pre(mV):        0.000000E+00
Pre(ms):        0.000000E+00
Post(mV):       0.000000E+00
Post(ms):       0.000000E+00
 4.880371E-01  -7.756290E-16   1.196289E-02
 4.879150E-01  -8.154049E-16   1.208496E-02
 4.877930E-01  -7.955170E-16   1.220703E-02
 4.876709E-01  -7.756290E-16   1.232910E-02
 4.875488E-01  -7.955170E-16   1.245117E-02
 4.874268E-01  -7.756290E-16   1.257324E-02
 4.873047E-01  -7.955170E-16   1.269531E-02
 4.871826E-01  -7.955170E-16   1.281738E-02
 4.870605E-01  -7.955170E-16   1.293945E-02
 4.869385E-01  -7.955170E-16   1.306152E-02
 4.868164E-01  -8.154049E-16   1.318359E-02
 4.866943E-01  -8.154049E-16   1.330566E-02
 4.865723E-01  -7.756290E-16   1.342773E-02
 4.864502E-01  -8.154049E-16   1.354980E-02
 4.863281E-01  -7.955170E-16   1.367188E-02
 4.862061E-01  -8.154049E-16   1.379395E-02
 4.860840E-01  -8.154049E-16   1.391602E-02
 4.859619E-01  -7.955170E-16   1.403809E-02
 4.858398E-01  -7.955170E-16   1.416016E-02
 4.857178E-01  -7.955170E-16   1.428223E-02
 4.855957E-01  -8.154049E-16   1.440430E-02
 4.854736E-01  -8.154049E-16   1.452637E-02
 4.853516E-01  -8.352928E-16   1.464844E-02
 4.852295E-01  -8.154049E-16   1.477051E-02
 4.851074E-01  -8.154049E-16   1.489258E-02
 4.849854E-01  -8.352928E-16   1.501465E-02
 4.848633E-01  -8.551807E-16   1.513672E-02
 4.847412E-01  -8.352928E-16   1.525879E-02
 4.846191E-01  -8.551807E-16   1.538086E-02
 4.844971E-01  -8.750687E-16   1.550293E-02
 4.843750E-01  -8.551807E-16   1.562500E-02
 4.842529E-01  -8.551807E-16   1.574707E-02
 4.841309E-01  -8.352928E-16   1.586914E-02
 4.840088E-01  -8.551807E-16   1.599121E-02
 4.838867E-01  -8.551807E-16   1.611328E-02
 4.837646E-01  -8.352928E-16   1.623535E-02
 4.836426E-01  -8.750687E-16   1.635742E-02
 4.835205E-01  -8.750687E-16   1.647949E-02
 4.833984E-01  -8.750687E-16   1.660156E-02
 4.832764E-01  -8.551807E-16   1.672363E-02
 4.831543E-01  -8.750687E-16   1.684570E-02
 4.830322E-01  -8.750687E-16   1.696777E-02
 4.829102E-01  -8.750687E-16   1.708984E-02
 4.827881E-01  -8.750687E-16   1.721191E-02
